Origin,Destination,Cost_FTL,Cost_LTL
FAC002,Detroit,3180,240
FAC002,El Paso,2920.17461,269.2937854
FAC002,Fort Worth,2720,200
FAC002,Fresno,4730.994787,400.6605571
FAC002,Houston,2950,220
FAC002,Indianapolis,2110,160
FAC002,Jacksonville,2680,220
FAC002,Kansas City,2140,170
FAC002,Las Vegas,3986.020659,334.2058664
FAC002,Long Beach,4482.945458,378.5335586
FAC002,Los Angeles,4457.001637,376.2192653
FAC002,Louisville,1960,160
FAC002,Memphis,800.8053639,50.09430478
FAC002,Mesa,3831.399301,320.4130189
FAC002,Miami,4520,340
FAC002,Milwaukee,2790,230
FAC002,Minneapolis,3340,240
FAC002,Nashville,1600,120
FAC002,New Orleans,1970,160
FAC002,New York,4880,360
FAC002,Oakland,5067.24338,430.655285
FAC002,Oklahoma City,2390,200
FAC002,Omaha,1843.552596,179.3612131
FAC002,Philadelphia,4060,310
FAC002,Phoenix,3800.796009,317.6830821
FAC002,Portland,5581.012131,476.4855255
FAC002,Raleigh,3120,250
FAC002,Sacramento,5055.372237,429.5963312
FAC002,San Antonio,2930,230
FAC002,San Diego,4494.513067,379.5654359
FAC002,San Francisco,5088.662341,432.5659425
FAC002,San Jose,5018.86379,426.3396308
FAC002,Seattle,5719.650619,488.8526366
FAC002,Tucson,3667.770706,305.8166896
FAC002,Tulsa,1860,150
FAC002,Virginia Beach,3710,310
FAC002,Washington,3800,290
FAC002,Wichita,1659.893128,156.5943572
FAC003,Albuquerque,2460.152297,198.0922669
FAC003,Arlington,1162.713862,86.60106363
FAC003,Atlanta,2063.289636,197.9259908
FAC003,Austin,800.4784804,50.04828294
FAC003,Baltimore,4935.682181,401.1911679
FAC003,Boston,6001.310816,491.6815268
FAC003,Charlotte,2382.105034,235.2579551
FAC003,Chicago,2492.904687,259.8564124
FAC003,Cleveland,2834.63937,302.2186406
FAC003,Colorado Springs,2455.564701,255.2276606
FAC003,Columbus,2626.378613,276.4021515
FAC003,Dallas,1155.121821,85.83495899
FAC003,Denver,2376.123259,245.3799143
FAC003,Detroit,2855.472399,304.8011514
FAC003,El Paso,2001.825911,174.3071925
FAC003,Fort Worth,1144.627741,84.77601275
FAC003,Fresno,4150.020786,348.8353378
FAC003,Houston,1256.553336,96.07030349
FAC003,Indianapolis,2415.892469,250.3097983
FAC003,Jacksonville,2261.579691,221.1449361
FAC003,Kansas City,1890.763454,185.2135812
FAC003,Las Vegas,4039.660379,338.9907453
FAC003,Long Beach,3703.573169,309.0104134
FAC003,Los Angeles,3688.006197,307.6217769
FAC003,Louisville,2321.630492,238.6248639
FAC003,Memphis,1648.087943,149.3075901
FAC003,Mesa,2931.694845,240.1557601
FAC003,Miami,2674.658887,269.5148012
FAC003,Milwaukee,2605.27075,273.7855716
FAC003,Minneapolis,2537.567203,265.392882
FAC003,Nashville,1922.141704,181.3981518
FAC003,New Orleans,1582.665122,141.6468483
FAC003,New York,5433.238293,443.442314
FAC003,Oakland,4441.055971,374.7968477
FAC003,Oklahoma City,1502.161764,120.8543843
FAC003,Omaha,2143.651687,216.5621962
FAC003,Philadelphia,5203.554078,423.9381393
FAC003,Phoenix,2936.990795,240.6281802
FAC003,Portland,5511.516737,470.2862566
FAC003,Raleigh,3480.968794,327.297819
FAC003,Sacramento,4466.340563,377.0523351
FAC003,San Antonio,944.1982387,64.55088835
FAC003,San Diego,3531.65526,293.674644
FAC003,San Francisco,4462.474932,376.7075052
FAC003,San Jose,4381.315652,369.4677708
FAC003,Seattle,5660.608618,483.5858525
FAC003,Tucson,2704.913024,219.9259089
FAC003,Tulsa,1620.151683,132.7606195
FAC003,Virginia Beach,3849.908152,365.4579347
FAC003,Washington,4835.569341,392.6898509
FAC003,Wichita,1609.306406,150.3235092
FAC004,Albuquerque,3516.788868,292.348502
FAC004,Arlington,2533.906141,224.9665938
FAC004,Atlanta,1708.479582,156.3792012
FAC004,Austin,2853.19061,257.1852444
FAC004,Baltimore,2745.209126,215.1820026
FAC004,Boston,3412.631986,271.8577827
FAC004,Charlotte,1803.865092,167.5484499
FAC004,Chicago,800.1938887,50.0240349
FAC004,Cleveland,1309.375472,113.1433712
FAC004,Colorado Springs,2386.05241,246.610755
FAC004,Columbus,1317.862477,114.1954402
FAC004,Dallas,2499.631604,221.5079874
FAC004,Denver,2284.863961,234.0671989
FAC004,Detroit,1220.751981,102.1573966
FAC004,El Paso,3861.693624,366.6769291
FAC004,Fort Worth,2553.023809,226.895737
FAC004,Fresno,5184.609332,441.1248003
FAC004,Houston,2924.662381,264.3973835
FAC004,Indianapolis,1071.75534,83.68742557
FAC004,Jacksonville,2156.67245,208.8607321
FAC004,Kansas City,1576.032021,146.1987389
FAC004,Las Vegas,4366.456173,368.1422455
FAC004,Long Beach,4936.560003,418.9978018
FAC004,Los Angeles,4910.616308,416.6835197
FAC004,Louisville,1239.639032,104.4986796
FAC004,Memphis,1494.814647,131.3599211
FAC004,Mesa,4488.977558,379.0716461
FAC004,Miami,2569.751646,257.2305972
FAC004,Milwaukee,934.7202844,66.70024059
FAC004,Minneapolis,1409.848474,125.5982389
FAC004,Nashville,1383.867237,118.3684383
FAC004,New Orleans,2005.724912,191.1853997
FAC004,New York,2909.35252,229.1206245
FAC004,Oakland,5132.647032,436.489554
FAC004,Oklahoma City,2227.487521,194.0462223
FAC004,Omaha,1491.128394,135.6738872
FAC004,Philadelphia,2826.019976,222.0442457
FAC004,Phoenix,4458.374391,376.3417205
FAC004,Portland,5120.73856,435.4272703
FAC004,Raleigh,2422.994381,217.8694669
FAC004,Sacramento,4972.604791,422.2131419
FAC004,San Antonio,2997.257559,271.7228844
FAC004,San Diego,5036.814793,427.9409326
FAC004,San Francisco,5142.374583,437.3572906
FAC004,San Jose,5213.287853,443.6830398
FAC004,Seattle,5011.165205,425.6528861
FAC004,Tucson,4541.063283,383.7179025
FAC004,Tulsa,2041.093814,175.2374348
FAC004,Virginia Beach,2613.283372,237.5514275
FAC004,Washington,2774.344385,217.6560915
FAC004,Wichita,1876.689747,183.4689715
FAC005,Albuquerque,3497.828095,290.6571247
FAC005,Arlington,2592.589259,230.8882439
FAC005,Atlanta,2238.101563,218.3957443
FAC005,Austin,2903.603134,262.2723177
FAC005,Baltimore,3824.84334,306.8616781
FAC005,Boston,4492.266364,363.5374721
FAC005,Charlotte,2333.924469,229.6162103
FAC005,Chicago,1405.66476,125.0796159
FAC005,Cleveland,1912.516317,187.9101167
FAC005,Colorado Springs,2253.696026,230.203549
FAC005,Columbus,1921.003322,188.9621857
FAC005,Dallas,2574.47537,229.0603909
FAC005,Denver,2152.507577,217.659993
FAC005,Detroit,1823.892826,176.9241421
FAC005,El Paso,3872.396607,367.7839594
FAC005,Fort Worth,2562.940857,227.8964557
FAC005,Fresno,5002.77949,424.9048466
FAC005,Houston,3006.709983,272.6767184
FAC005,Indianapolis,1674.896093,158.4541597
FAC005,Jacksonville,2686.294431,270.8772753
FAC005,Kansas City,1443.675546,129.7915216
FAC005,Las Vegas,4184.626331,351.9222917
FAC005,Long Beach,4754.730161,402.777848
FAC005,Los Angeles,4728.786466,400.463566
FAC005,Louisville,1842.779786,179.2654137
FAC005,Memphis,1976.4348,187.7556488
FAC005,Mesa,4470.016784,377.3802688
FAC005,Miami,3099.373707,319.2471498
FAC005,Milwaukee,1299.762508,111.9517258
FAC005,Minneapolis,800.4237327,50.05252689
FAC005,Nashville,1913.489218,180.3849815
FAC005,New Orleans,2487.345065,247.5811275
FAC005,New York,3988.986898,320.800314
FAC005,Oakland,4950.81719,420.2696002
FAC005,Oklahoma City,2210.731183,192.3553582
FAC005,Omaha,1358.77201,119.2666813
FAC005,Philadelphia,3905.654189,313.7239213
FAC005,Phoenix,4439.413618,374.6503432
FAC005,Portland,4517.943147,381.6554933
FAC005,Raleigh,3213.280587,299.6103069
FAC005,Sacramento,4790.774949,405.9931882
FAC005,San Antonio,3047.670083,276.8099577
FAC005,San Diego,4854.984951,411.7209788
FAC005,San Francisco,4960.54474,421.1373369
FAC005,San Jose,5031.457885,427.4630748
FAC005,Seattle,4182.924905,351.7705177
FAC005,Tucson,4522.102509,382.0265251
FAC005,Tulsa,2236.270612,194.9325145
FAC005,Virginia Beach,3403.569578,319.2922675
FAC005,Washington,3853.978762,309.335781
FAC005,Wichita,1744.333363,167.0617656
FAC006,Albuquerque,2460.152297,198.0922669
FAC006,Arlington,1162.713862,86.60106363
FAC006,Atlanta,2063.289636,197.9259908
FAC006,Austin,800.4784804,50.04828294
FAC006,Baltimore,4935.682181,401.1911679
FAC006,Boston,6001.310816,491.6815268
FAC006,Charlotte,2382.105034,235.2579551
FAC006,Chicago,2492.904687,259.8564124
FAC006,Cleveland,2834.63937,302.2186406
FAC006,Colorado Springs,2455.564701,255.2276606
FAC006,Columbus,2626.378613,276.4021515
FAC006,Dallas,1155.121821,85.83495899
FAC006,Denver,2376.123259,245.3799143
FAC006,Detroit,2855.472399,304.8011514
FAC006,El Paso,2001.825911,174.3071925
FAC006,Fort Worth,1144.627741,84.77601275
FAC006,Fresno,4150.020786,348.8353378
FAC006,Houston,1256.553336,96.07030349
FAC006,Indianapolis,2415.892469,250.3097983
FAC006,Jacksonville,2261.579691,221.1449361
FAC006,Kansas City,1890.763454,185.2135812
FAC006,Las Vegas,4039.660379,338.9907453
FAC006,Long Beach,3703.573169,309.0104134
FAC006,Los Angeles,3688.006197,307.6217769
FAC006,Louisville,2321.630492,238.6248639
FAC006,Memphis,1648.087943,149.3075901
FAC006,Mesa,2931.694845,240.1557601
FAC006,Miami,2674.658887,269.5148012
FAC006,Milwaukee,2605.27075,273.7855716
FAC006,Minneapolis,2537.567203,265.392882
FAC006,Nashville,1922.141704,181.3981518
FAC006,New Orleans,1582.665122,141.6468483
FAC006,New York,5433.238293,443.442314
FAC006,Oakland,4441.055971,374.7968477
FAC006,Oklahoma City,1502.161764,120.8543843
FAC006,Omaha,2143.651687,216.5621962
FAC006,Philadelphia,5203.554078,423.9381393
FAC006,Phoenix,2936.990795,240.6281802
FAC006,Portland,5511.516737,470.2862566
FAC006,Raleigh,3480.968794,327.297819
FAC006,Sacramento,4466.340563,377.0523351
FAC006,San Antonio,944.1982387,64.55088835
FAC006,San Diego,3531.65526,293.674644
FAC006,San Francisco,4462.474932,376.7075052
FAC006,San Jose,4381.315652,369.4677708
FAC006,Seattle,5660.608618,483.5858525
FAC006,Tucson,2704.913024,219.9259089
FAC006,Tulsa,1620.151683,132.7606195
FAC006,Virginia Beach,3849.908152,365.4579347
FAC006,Washington,4835.569341,392.6898509
FAC006,Wichita,1609.306406,150.3235092
FAC007,Albuquerque,2530.604798,204.3769136
FAC007,Arlington,3220.920144,294.292434
FAC007,Atlanta,3589.269333,376.6119012
FAC007,Austin,3214.339768,293.6284154
FAC007,Baltimore,8017.47738,662.889047
FAC007,Boston,8888.432389,736.8482376
FAC007,Charlotte,3908.084731,413.9438655
FAC007,Chicago,3883.552965,432.2444156
FAC007,Cleveland,4368.447089,492.3530218
FAC007,Colorado Springs,2503.729244,261.1982497
FAC007,Columbus,4214.084875,473.2179218
FAC007,Dallas,3245.32817,296.7554216
FAC007,Denver,2405.713278,249.047962
FAC007,Detroit,4279.823598,481.3670472
FAC007,El Paso,2205.2798,195.3508241
FAC007,Fort Worth,3188.387808,291.0096312
FAC007,Fresno,1511.690937,113.4856961
FAC007,Houston,3441.732673,316.5743876
FAC007,Indianapolis,3955.008763,441.1022429
FAC007,Jacksonville,3843.372357,406.3663141
FAC007,Kansas City,3295.19551,359.3102536
FAC007,Las Vegas,1475.045868,110.2168084
FAC007,Long Beach,1031.976342,70.69322336
FAC007,Los Angeles,1047.751953,72.10047144
FAC007,Louisville,3983.500636,444.6341619
FAC007,Memphis,3161.132289,326.4788243
FAC007,Mesa,1616.187162,122.80718
FAC007,Miami,4256.451632,454.7361886
FAC007,Milwaukee,3944.147976,439.7559145
FAC007,Minneapolis,3754.335487,416.2263158
FAC007,Nashville,3435.186049,358.569386
FAC007,New Orleans,3164.457868,326.8682358
FAC007,New York,8350.481661,691.1668878
FAC007,Oakland,1802.726122,139.447206
FAC007,Oklahoma City,3303.345176,302.6098549
FAC007,Omaha,3199.840694,347.4898482
FAC007,Philadelphia,8162.968123,675.2437352
FAC007,Phoenix,1622.374611,123.3591253
FAC007,Portland,3015.360199,247.6190465
FAC007,Raleigh,5756.111461,562.6202521
FAC007,Sacramento,1828.010588,141.7026822
FAC007,San Antonio,3093.139578,281.3982353
FAC007,San Diego,800.8070366,50.07199092
FAC007,San Francisco,1824.144957,141.3578523
FAC007,San Jose,1742.985677,134.1181179
FAC007,Seattle,3366.297964,278.9241077
FAC007,Tucson,1628.273607,123.8853395
FAC007,Tulsa,3486.60892,321.1028012
FAC007,Virginia Beach,6125.05082,600.7803679
FAC007,Washington,7917.364541,654.38773
FAC007,Wichita,3093.097289,334.2576868
FAC008,Albuquerque,4122.286176,346.3612989
FAC008,Arlington,2691.957013,240.9153365
FAC008,Atlanta,1121.058018,87.59456588
FAC008,Austin,2984.170449,270.4022783
FAC008,Baltimore,1914.658068,144.6538084
FAC008,Boston,2980.286867,235.1441812
FAC008,Charlotte,800.5667055,50.06635888
FAC008,Chicago,1942.825533,191.6673179
FAC008,Cleveland,1567.674931,145.1627745
FAC008,Colorado Springs,3202.263239,347.7901526
FAC008,Columbus,1474.66407,133.6329313
FAC008,Dallas,2657.87919,237.4765801
FAC008,Denver,3122.821706,337.9423949
FAC008,Detroit,1775.339087,170.9053075
FAC008,El Paso,4030.982794,384.1868372
FAC008,Fort Worth,2711.722467,242.909847
FAC008,Fresno,5994.070477,513.3319925
FAC008,Houston,2667.530882,238.4505219
FAC008,Indianapolis,1672.007044,158.0960264
FAC008,Jacksonville,1298.135239,108.329576
FAC008,Kansas City,2229.66572,227.2246963
FAC008,Las Vegas,5521.337924,471.162346
FAC008,Long Beach,5746.021148,491.2049939
FAC008,Los Angeles,5720.077327,488.8907007
FAC008,Louisville,1507.160064,137.6612105
FAC008,Memphis,1612.760236,145.1708617
FAC008,Mesa,5059.197774,429.9375845
FAC008,Miami,1747.381718,160.9344803
FAC008,Milwaukee,2075.021902,208.054688
FAC008,Minneapolis,2550.150001,266.952675
FAC008,Nashville,1336.684965,112.8435894
FAC008,New Orleans,1731.563411,159.082222
FAC008,New York,2412.214344,186.9049684
FAC008,Oakland,6330.31907,543.3267203
FAC008,Oklahoma City,2762.258173,248.0093505
FAC008,Omaha,2504.27452,261.2658434
FAC008,Philadelphia,2182.530129,167.4007937
FAC008,Phoenix,5063.871699,430.3545175
FAC008,Portland,6512.588188,559.5858593
FAC008,Raleigh,1130.145587,84.1476005
FAC008,Sacramento,6318.447926,542.2677666
FAC008,San Antonio,3018.100655,273.8261387
FAC008,San Diego,5659.158189,483.4564684
FAC008,San Francisco,6351.738031,545.2373779
FAC008,San Jose,6281.939479,539.0110661
FAC008,Seattle,6577.699743,565.3940721
FAC008,Tucson,4832.415827,409.7077221
FAC008,Tulsa,2647.365116,236.4156164
FAC008,Virginia Beach,1500.086998,122.4113605
FAC008,Washington,1814.545228,136.1524914
FAC008,Wichita,2527.664492,264.1653189
FAC009,Albuquerque,4725.451611,400.1660835
FAC009,Arlington,3467.429717,319.1674485
FAC009,Atlanta,1793.709539,166.3592766
FAC009,Austin,3785.128045,351.2260433
FAC009,Baltimore,1068.402177,72.79200139
FAC009,Boston,1625.877947,120.131366
FAC009,Charlotte,1478.688715,129.4716412
FAC009,Chicago,1930.321324,190.117267
FAC009,Cleveland,1439.2245,129.2397595
FAC009,Colorado Springs,3445.131289,377.8966424
FAC009,Columbus,1499.24322,136.6798201
FAC009,Dallas,3433.220715,315.7154551
FAC009,Denver,3365.689756,368.0488847
FAC009,Detroit,1668.524046,157.6642659
FAC009,El Paso,4876.13097,471.6021576
FAC009,Fort Worth,3490.88717,321.5345147
FAC009,Fresno,6597.235912,567.136777
FAC009,Houston,3573.502473,329.8711356
FAC009,Indianapolis,1757.750818,168.7250246
FAC009,Jacksonville,1899.562569,178.7542285
FAC009,Kansas City,2472.533771,257.3311861
FAC009,Las Vegas,5854.987559,500.9252364
FAC009,Long Beach,6349.186583,545.0097785
FAC009,Los Angeles,6323.242762,542.6954852
FAC009,Louisville,1801.908038,174.1988566
FAC009,Memphis,2116.649246,204.1741804
FAC009,Mesa,5697.640426,486.8892388
FAC009,Miami,2348.809048,231.3591329
FAC009,Milwaukee,2062.517693,206.5046371
FAC009,Minneapolis,2537.645792,265.4026241
FAC009,Nashville,1840.573895,171.8468988
FAC009,New Orleans,2387.37204,235.8746998
FAC009,New York,1057.805424,71.89215318
FAC009,Oakland,6651.838647,572.0075607
FAC009,Oklahoma City,3295.627732,301.831096
FAC009,Omaha,2596.96837,272.7563892
FAC009,Philadelphia,800.8666587,50.07359436
FAC009,Phoenix,5667.037134,484.159302
FAC009,Portland,6639.930049,570.9452658
FAC009,Raleigh,1601.002614,132.849259
FAC009,Sacramento,6491.79628,557.7311374
FAC009,San Antonio,3924.072246,365.2467524
FAC009,San Diego,6449.441247,553.952898
FAC009,San Francisco,6661.566197,572.8752973
FAC009,San Jose,6732.479341,579.2010353
FAC009,Seattle,6560.52159,563.8617117
FAC009,Tucson,5718.525469,488.7522687
FAC009,Tulsa,3109.233914,283.0222974
FAC009,Virginia Beach,1319.339381,103.7162828
FAC009,Washington,1173.944899,81.75440955
FAC009,Wichita,2770.532542,294.2718087
FAC010,Albuquerque,3450.106476,286.4001642
FAC010,Arlington,2327.530719,204.1414731
FAC010,Atlanta,1352.25788,114.6671134
FAC010,Austin,2645.229157,236.2000791
FAC010,Baltimore,2417.368769,187.3426685
FAC010,Boston,3351.709907,266.6844412
FAC010,Charlotte,1420.971787,122.7132276
FAC010,Chicago,1239.620186,104.4963433
FAC010,Cleveland,1315.755936,113.9343084
FAC010,Colorado Springs,2528.968489,264.3269654
FAC010,Columbus,1107.49527,88.11783062
FAC010,Dallas,2293.321827,200.6894909
FAC010,Denver,2449.526956,254.4792077
FAC010,Detroit,1336.589056,116.5168306
FAC010,El Paso,3645.894198,344.3563745
FAC010,Fort Worth,2350.988282,206.5085505
FAC010,Fresno,5321.890652,453.3708466
FAC010,Houston,2641.655785,235.839494
FAC010,Indianapolis,968.8016963,70.92505187
FAC010,Jacksonville,1800.450668,167.1486349
FAC010,Kansas City,1556.37097,143.7615091
FAC010,Las Vegas,4596.37263,388.6517188
FAC010,Long Beach,5073.841323,431.243848
FAC010,Los Angeles,5047.897627,428.929566
FAC010,Louisville,800.2996732,50.03714819
FAC010,Memphis,1291.506997,107.5534363
FAC010,Mesa,4422.295165,373.1233084
FAC010,Miami,2213.529944,215.5185094
FAC010,Milwaukee,1371.816555,120.8837134
FAC010,Minneapolis,1846.944653,179.7817004
FAC010,Nashville,1027.645454,76.65634107
FAC010,New Orleans,1722.418854,158.0114323
FAC010,New York,2783.637383,218.4452284
FAC010,Oakland,5599.531366,478.1375158
FAC010,Oklahoma City,2168.557818,188.0996896
FAC010,Omaha,1830.97977,177.8026563
FAC010,Philadelphia,2596.123845,202.5220758
FAC010,Phoenix,4391.691999,370.3933827
FAC010,Portland,5587.622894,477.0752321
FAC010,Raleigh,1911.437778,164.958172
FAC010,Sacramento,5439.488999,463.8610925
FAC010,San Antonio,2789.296106,250.7377191
FAC010,San Diego,5174.096112,440.1869788
FAC010,San Francisco,5609.258916,479.0052524
FAC010,San Jose,5609.759654,479.0499202
FAC010,Seattle,5611.643577,479.2179738
FAC010,Tucson,4428.663478,373.6913874
FAC010,Tulsa,1982.164111,169.2909022
FAC010,Virginia Beach,2101.726768,184.6401326
FAC010,Washington,2408.214972,186.5653524
FAC010,Wichita,1854.369742,180.7021317
FAC011,Albuquerque,2614.676498,211.8764477
FAC011,Arlington,1264.797828,96.90224621
FAC011,Atlanta,1832.544297,170.906666
FAC011,Austin,1256.674629,96.08254305
FAC011,Baltimore,4620.52858,374.4291595
FAC011,Boston,5686.157379,464.9195324
FAC011,Charlotte,2151.359694,208.2386303
FAC011,Chicago,2550.023837,266.9370354
FAC011,Cleveland,2829.945603,301.6367903
FAC011,Colorado Springs,2538.74101,265.5383899
FAC011,Columbus,2621.684937,275.8203125
FAC011,Dallas,1230.720004,93.46348985
FAC011,Denver,2459.299477,255.6906322
FAC011,Detroit,2850.778724,304.2193125
FAC011,El Paso,2247.370909,199.7043894
FAC011,Fort Worth,1284.563281,98.89675673
FAC011,Fresno,4407.46648,371.8005299
FAC011,Houston,800.0538433,50.00543327
FAC011,Indianapolis,2449.838385,254.5178132
FAC011,Jacksonville,1933.187245,182.6915391
FAC011,Kansas City,1973.939672,195.5242991
FAC011,Las Vegas,3741.486672,312.3924505
FAC011,Long Beach,3961.018737,331.9755943
FAC011,Los Angeles,3945.451766,330.5869578
FAC011,Louisville,2316.936725,238.0430136
FAC011,Memphis,1647.836762,149.2781778
FAC011,Mesa,3189.140538,263.1209522
FAC011,Miami,2346.266521,231.0614135
FAC011,Milwaukee,2665.37794,281.2365991
FAC011,Minneapolis,2620.743421,275.7035999
FAC011,Nashville,1913.565521,180.3939163
FAC011,New Orleans,1254.272676,103.1934513
FAC011,New York,5118.084856,416.6803196
FAC011,Oakland,4698.501665,397.7620398
FAC011,Oklahoma City,1603.143539,131.0443461
FAC011,Omaha,2226.827905,226.8729141
FAC011,Philadelphia,4888.400641,397.1761449
FAC011,Phoenix,3194.436363,263.5933611
FAC011,Portland,5625.783372,480.4793004
FAC011,Raleigh,3136.941564,291.7144132
FAC011,Sacramento,4723.786132,400.017516
FAC011,San Antonio,1153.463037,85.6675729
FAC011,San Diego,3789.100954,316.6398361
FAC011,San Francisco,4719.9205,399.6726861
FAC011,San Jose,4638.761221,392.4329517
FAC011,Seattle,5774.875253,493.7788963
FAC011,Tucson,2962.358592,242.8910898
FAC011,Tulsa,1693.125957,140.1243746
FAC011,Virginia Beach,3505.880923,329.874529
FAC011,Washington,4520.415741,365.9278426
FAC011,Wichita,1692.482716,160.6342385
FAC012,Albuquerque,3450.106476,286.4001642
FAC012,Arlington,2327.530719,204.1414731
FAC012,Atlanta,1352.25788,114.6671134
FAC012,Austin,2645.229157,236.2000791
FAC012,Baltimore,2417.368769,187.3426685
FAC012,Boston,3351.709907,266.6844412
FAC012,Charlotte,1420.971787,122.7132276
FAC012,Chicago,1239.620186,104.4963433
FAC012,Cleveland,1315.755936,113.9343084
FAC012,Colorado Springs,2528.968489,264.3269654
FAC012,Columbus,1107.49527,88.11783062
FAC012,Dallas,2293.321827,200.6894909
FAC012,Denver,2449.526956,254.4792077
FAC012,Detroit,1336.589056,116.5168306
FAC012,El Paso,3645.894198,344.3563745
FAC012,Fort Worth,2350.988282,206.5085505
FAC012,Fresno,5321.890652,453.3708466
FAC012,Houston,2641.655785,235.839494
FAC012,Indianapolis,968.8016963,70.92505187
FAC012,Jacksonville,1800.450668,167.1486349
FAC012,Kansas City,1556.37097,143.7615091
FAC012,Las Vegas,4596.37263,388.6517188
FAC012,Long Beach,5073.841323,431.243848
FAC012,Los Angeles,5047.897627,428.929566
FAC012,Louisville,800.2996732,50.03714819
FAC012,Memphis,1291.506997,107.5534363
FAC012,Mesa,4422.295165,373.1233084
FAC012,Miami,2213.529944,215.5185094
FAC012,Milwaukee,1371.816555,120.8837134
FAC012,Minneapolis,1846.944653,179.7817004
FAC012,Nashville,1027.645454,76.65634107
FAC012,New Orleans,1722.418854,158.0114323
FAC012,New York,2783.637383,218.4452284
FAC012,Oakland,5599.531366,478.1375158
FAC012,Oklahoma City,2168.557818,188.0996896
FAC012,Omaha,1830.97977,177.8026563
FAC012,Philadelphia,2596.123845,202.5220758
FAC012,Phoenix,4391.691999,370.3933827
FAC012,Portland,5587.622894,477.0752321
FAC012,Raleigh,1911.437778,164.958172
FAC012,Sacramento,5439.488999,463.8610925
FAC012,San Antonio,2789.296106,250.7377191
FAC012,San Diego,5174.096112,440.1869788
FAC012,San Francisco,5609.258916,479.0052524
FAC012,San Jose,5609.759654,479.0499202
FAC012,Seattle,5611.643577,479.2179738
FAC012,Tucson,4428.663478,373.6913874
FAC012,Tulsa,1982.164111,169.2909022
FAC012,Virginia Beach,2101.726768,184.6401326
FAC012,Washington,2408.214972,186.5653524
FAC012,Wichita,1854.369742,180.7021317
FAC013,Albuquerque,3497.828095,290.6571247
FAC013,Arlington,2592.589259,230.8882439
FAC013,Atlanta,2238.101563,218.3957443
FAC013,Austin,2903.603134,262.2723177
FAC013,Baltimore,3824.84334,306.8616781
FAC013,Boston,4492.266364,363.5374721
FAC013,Charlotte,2333.924469,229.6162103
FAC013,Chicago,1405.66476,125.0796159
FAC013,Cleveland,1912.516317,187.9101167
FAC013,Colorado Springs,2253.696026,230.203549
FAC013,Columbus,1921.003322,188.9621857
FAC013,Dallas,2574.47537,229.0603909
FAC013,Denver,2152.507577,217.659993
FAC013,Detroit,1823.892826,176.9241421
FAC013,El Paso,3872.396607,367.7839594
FAC013,Fort Worth,2562.940857,227.8964557
FAC013,Fresno,5002.77949,424.9048466
FAC013,Houston,3006.709983,272.6767184
FAC013,Indianapolis,1674.896093,158.4541597
FAC013,Jacksonville,2686.294431,270.8772753
FAC013,Kansas City,1443.675546,129.7915216
FAC013,Las Vegas,4184.626331,351.9222917
